Ticket,Nombre comun,Dia,Mes,Ano,,Evento,Ciudad,Vereda,Arboles,Hectareas
903,"Guayabo araza, Protium apiculata, Hacelfia floribunda, Posoqueria latifolia, Arizá",5,12,2021,,Urbanizacion Siempre Verde,Medell�n,Aguas Frias,10,0.02
1855,"Casco de Vaca, Guamo Machete, Guayabo Común, Carbonero, Nogal Cafetero",11,9,2021,,Obligación Contractual,Medell�n,Altavista Central,35,0.07
126,naranja,9,3,2020,,siembra de árboles,Medell�n,Altavista Central,4,0.008
576,Chirlobirlo,1,29,2020,,Sembraton tejiendo caminos,Medell�n,Boqueron,800,1.6
1590,"Quimulá, Fruta de pava, Alcaparro Enano, Cabo de Hacha, Niguito, Drago, Chirlobirlo",1,18,2022,,Reforestación predio estadero alto de boqueron,Medell�n,Boqueron,200,0.4
1152,"Quimulá, Chaquiro Real, Gallinazo, Niguito, Yolombo, Drago, Chagualo, Roble",9,19,2021,,Obligación Contractual,Medell�n,Boqueron,62,0.124
312,"carate rojo, Chiriguaco, Cordoncillo, Sietecueros, Chachafruto, Roble",10,2,2020,,SEMBRATON,Medell�n,Buga Patio Bonito,30,0.06
1299,"Guayacan Polvillo, Pino Colombiano Romeron",10,28,2021,,contrato 0854-2021 obligacion arbol x millon,Medell�n,El Cerro,20,0.04
1665,"Quimulá, Quiebra barrigo, Cedro altura, Saúco, Sauce, Cedro Negro, Chachafruto, Chirlobirlo, Aguacatillo, Roble",8,22,2021,,siembra Voluntaria,Medell�n,El Cerro,1715,3.43
985,"Florentino, Mollinedia, Alcaparro Enano, Navajuelo, Amarraboyo, Cedrillo, Carate Negro, Nadador, Escobo 1, Aliso, Chagualo, Aguacatillo",5,15,2021,,Siembra de árboles contrato ps No.190-CNT2103-64 de Revisoría Fiscal,Medell�n,El Cerro,120,0.24
1532,"Quimulá, Guayacan Amarillo, Magnolio, Sauco de Monte",12,18,2021,,Obligación Contractual,Medell�n,El Llano,13,0.026
1591,"Quimulá, Guayacan Amarillo",10,13,2021,,Obligación Contractual,Medell�n,El Llano,40,0.08
1287,Quimulá,10,28,2021,,Obligación Contractual,Medell�n,El Llano (Santa Elena),14,0.028
1280,"Amarraboyo, Arrayan Eugenio, Pino Colombiano Romeron, Roble",10,2,2021,,Obligación Contractual,Medell�n,El Llano (Santa Elena),46,0.092
1345,"Quimulá, Cedro, Guayacan Polvillo",11,24,2021,,190-AO109-10 siembra obligacion contrctual,Medell�n,El Llano (Santa Elena),19,0.038
1349,"Quimulá, Cedro, Guayacan Polvillo, Arrayan de Hoja Pequeña, Roble",10,24,2021,,obligación contrato 0473-2021,Medell�n,El Llano (Santa Elena),66,0.132
1667,"Guayacan Rosado, Quiebrabarrigo, Cochobo, Cedro, Cabo de Hacha, Arrayan copa roja, Guayabo rojo, Guamo, Guayabo, Nogal Cafetero",11,14,2021,,Obligación Contractual,Medell�n,El Picacho,21,0.042
194,Roble,10,4,2020,,CUMPLIMIENTO OBLIGACION CONTRATO 150-CNT2007-95,Medell�n,El Placer,1,0.002
2532,"Quimulá, Guayacan Amarillo, Arrayán, Chirlobirlo",4,23,2022,,SEMBRATON POR EL DIA MUNDIAL DE LA TIERRA,Medell�n,El Placer,1000,2
206,"Quimulá, Abutilon Rojo, Canelo de Paramo, Chaquiro Real, Navajuelo, Sauco de Monte, Cheflera Mano de Oso, Aliso, Chagualo, Roble",10,4,2020,,SEMBRATON BIO +,Medell�n,El Placer,10,0.02
214,"Quimulá, Cheflera Mano de Oso, Cedrillo, Navajuelo, Yolombo Pequeño, Olla de Mono, Aliso, Chagualo",10,4,2020,,CUMPLIMIENTO OBLIGACIÓN CONTRATO 150-CNT2007-95,Medell�n,El Placer,8,0.016
215,Nigüito,10,4,2020,,CUMPLIMIENTO OBLIGACION CONTRATO 150-CNT2007-95,Medell�n,El Placer,1,0.002
203,Aliso,10,4,2020,,SEMBRATON BIO +,Medell�n,El Placer,1,0.002
964,Alcaparro Enano,6,6,2021,,Sembraron La Aldea,Medell�n,El Plan,200,0.4
1283,"Chaquiro Real, Gallinazo, Aguacatillo",9,6,2021,,Siembra El Yolombo,Medell�n,El Yolombo,24,0.048
1063,"Quiebrabarrigo, Alcaparro Palo Bonito, Escobo 1",7,21,2021,,siembra,Medell�n,El Yolombo,30,0.06
1276,"Gallinazo, Chaquiro Real",8,16,2021,,siembra 2,Medell�n,El Yolombo,16,0.032
770,EUCALIPTO,2,18,2021,,Salvemos a san Sebastián de Palmitas,Medell�n,La Frisola,800,1.6
577,Gualanday,12,23,2020,,Sembraton Tejiendo Caminos -La Frisola,Medell�n,La Frisola,300,0.6
1830,"Quimulá, Guayacán Amarillo, Quiebrabarrigo, Camargo, Sauce, Guamo Machete, Níspero, Drago, Chirlobirlo, Roble",9,28,2021,,Obligación Contractual,Medell�n,La Palma,61,0.122
244,Guayacán Amarillo,11,8,2020,,Cada uno un árbol,Medell�n,La Playas,1,0.002
