"ID INTERVENCION","FECHA DE INTERVENCION","FECHA DE INGRESO","UBICACION","PROCEDENCIA","LOCALIZACION ARBOL","ESTADO DE MADUREZ","TIPO DE ARBOL","TIPO DE INTERVENCION","CODIGO ARBOL","ESPECIE","NOMBRE COMUN","ESPECIE TEMPORAL","NOMBRE COMUN TEMPORAL","FAMILIA TEMPORAL","ALTURA TOTAL","ALTURA DE COPA","DAP","ESTADO DEL ARBOL","COBERTURA PIE","INTERVENCIONES SECUNDARIAS","ID ESTADO","TALA ORIGEN","ESTADO DE ARBOL","ESTADO DE INTERVENCION","OBSERVACIONES DE LA INTERVENCION","OBSERVACIONES","ENTIDAD RADICADO","RADICADO","FECHA DE RADICADO","ENTORNO","RIESGO","RECOMENDACIONES","SINTOMAS DE DAÑO MECANICO","AGENTE DE DAÑO MECANICO","SINTOMA DE ENFERMEDAD","SEVERIDAD","MUNICIPIO","COMUNA","BARRIO","DIRECCION","GEO X","GEO Y","LATITUD","LONGITUD","ACTOR","OPERADOR","USUARIO","INTERVENTOR","FUNCIONARIO","ID CONTRATO","CONTRATO","AÑO CONTRATO","VERIFICADO","IMAGEN","NOMBRE ORIGINAL"
"2569","01/01/2006","01/01/2006","Mapas.Medellin","Desconocida","Zona Privada","Juvenil","Común","Inventario inicial","00116120740103","Hibiscus rosa-sinensis","San joaquín, cayeno, sanjoaquín, resucitado","","","","2.50","1.60","","Individuo Enfermo","Si","","1","","Activo","Aprobado","","","","","","","","","","","Enrollamiento en Hojas, Tumores o Agallas en Hoja","BAJO, ALTO","Medellín","Belén","La Gloria","","831538.24","1180414.8206","6.2254756","-75.59956693","Desconocido","Desconocido","","","","","","","No","",""
"7525","01/01/2006","01/01/2006","Mapas.Medellin","Desconocida","Zona Publica","Adulto","Común","Inventario inicial","00115070420121","Ficus benjamina","Falso laurel, ficus, laurel, caucho benjamín","","","","6.50","4.00","15.00","Individuo Enfermo","Si","","1","","Activo","Aprobado","","","","","","","Posible Caida de Ramas","Cicatrizacion","Descortezamiento","Guadañas u Otros Agentes","","","Medellín","Guayabal","Campo Amor","","833144.4353669907","1179211.96194586","6.2146440217558965","-75.5850273286601","Desconocido","Desconocido","","","","","","","No","",""
"9028","01/01/2006","01/01/2006","Mapas.Medellin","Desconocida","Zona Publica","Juvenil","Común","Inventario inicial","00116110120026","Handroanthus chrysanthus","Guayacán amarillo, cañaguate, guayacán, chicalá, polvillo","","","","1.80","1.00","","Individuo Sano","Si","","1","","Activo","Aprobado","","","","","","","","","","","","","Medellín","Belén","La Loma de Los Bernal","","830985.3055","1179726.435","6.21923859","-75.60454354","Desconocido","Desconocido","","","","","","","No","",""
"86847","01/01/2006","01/01/2006","Mapas.Medellin","Desconocida","Zona Publica","Adulto","Común","Inventario inicial","00105190200078","Mangifera indica","Mango, mango canime, mango chancleto, mango de azúcar, mango de chupa","","","","5.00","2.00","19.00","Individuo Sano","No","","1","","Activo","Aprobado","","","","","","","Interferencia con Circulación","Poda de Correccion, Poda de Mantenimiento","","","Manchas Foliares","ALTO","Medellín","Castilla","El Progreso","","834124.5304993677","1185821.291642238","6.274414266554071","-75.57634426695263","Desconocido","Desconocido","","","","","","","No","",""
"86848","01/01/2006","01/01/2006","Mapas.Medellin","Desconocida","Zona Publica","Adulto","Común","Inventario inicial","00105190200079","Mangifera indica","Mango, mango canime, mango chancleto, mango de azúcar, mango de chupa","","","","5.00","2.00","19.00","Individuo Sano","No","","1","","Activo","Aprobado","","","","","","","Interferencia con Circulación","Poda de Correccion, Poda de Mantenimiento","","","Manchas Foliares","ALTO","Medellín","Castilla","El Progreso","","834132.4830471822","1185824.8819610693","6.274446926795036","-75.57627251786151","Desconocido","Desconocido","","","","","","","No","",""
"508982","16/01/2008","16/01/2008","Mapas.Medellin","Desconocida","Zona Privada","Juvenil","Común","Fertilizacion","00116120740144","Hibiscus rosa-sinensis","San joaquín, cayeno, sanjoaquín, resucitado","","","","","","","","","","1","","Activo","Aprobado","","Datos Red Ecologica Loma de los Bernal, ","","","","","","","","","","","Medellín","Belén","La Gloria","","831565.9109","1180408.1173","6.22541573","-75.5993168","Municipio de Medellín","Secretaría de Infraestructura Física","","","","","","","No","",""
"521229","26/02/2008","26/02/2008","Mapas.Medellin","Desconocida","Zona Publica","Adulto","Común","Limpieza","00111050390028","Jacaranda mimosifolia","Jacaranda, gualanday","","","","","","","","","","1","","Activo","Aprobado","","Datos Red Ecologica Rodeo  Aeroparque SanJuan, ","","","","","","","","","","","Medellín","Laureles Estadio","Los Conquistadores","","833228.655","1182189.6465","6.24156291","-75.58434335","Municipio de Medellín","Secretaría de Infraestructura Física","","","","","","","No","",""
"522768","01/03/2008","01/03/2008","Mapas.Medellin","Desconocida","Zona Publica","Adulto","Común","Cicatrizacion","00107170100006","Mangifera indica","Mango, mango canime, mango chancleto, mango de azúcar, mango de chupa","","","","","","","","","","1","","Activo","Aprobado","","Datos Red Ecologica Volador Iguana, Tipo 3","","","","","","","","","","","Medellín","Robledo","Robledo","","832121.223","1185969.7187","6.27570386","-75.59444558","Municipio de Medellín","Secretaría de Infraestructura Física","","","","","","","No","",""
"522769","01/04/2008","01/04/2008","Mapas.Medellin","Desconocida","Zona Publica","Adulto","Común","Fertilizacion","00107170100006","Mangifera indica","Mango, mango canime, mango chancleto, mango de azúcar, mango de chupa","","","","","","","","","","1","","Activo","Aprobado","","Datos Red Ecologica Volador Iguana, Tipo 2","","","","","","","","","","","Medellín","Robledo","Robledo","","832121.223","1185969.7187","6.27570386","-75.59444558","Municipio de Medellín","Secretaría de Infraestructura Física","","","","","","","No","",""
"522811","01/02/2008","01/02/2008","Mapas.Medellin","Desconocida","Zona Publica","Adulto","Común","Poda de Mantenimiento","00107160200009","Ficus benjamina","Falso laurel, ficus, laurel, caucho benjamín","","","","","","","","","","1","","Activo","Aprobado","","Datos Red Ecologica Volador Iguana, Tipo 2","","","","","","","","","","","Medellín","Robledo","Palenque","","832272.0057","1185953.5381","6.27556154","-75.59308302","Municipio de Medellín","Secretaría de Infraestructura Física","","","","","","","No","",""
